tsne1D,tsne2D,Standard_Cluster,Membership_Probability,Sample_Name
9.269360249023297,21.850227378936065,23,1.0,AP019704.1
20.7665762667023,-2.2740799984274624,-1,0.0,AP019705.1
9.271120019584625,21.848981608568888,23,1.0,AP019707.1
9.25902320499967,21.78307123826032,23,1.0,AP019709.1
5.711632690489248,-24.171125410217677,-1,0.0,AP019710.1
33.44546919958418,14.372016604115839,39,0.5780782979566004,AP024113.1
-8.288380929220384,39.39423766727527,10,1.0,AP024115.1
28.531588587455683,1.8540016628560472,-1,0.0,AP024116.1
12.081148745949717,33.4817973643218,13,0.6357234895380857,AP024117.1
-43.48947946521489,-19.91535211519381,12,1.0,AP024118.1
24.331240224462203,-32.09918884090881,2,1.0,AP024119.1
-33.61129525843985,-14.127064706966456,-1,0.0,AP024120.1
13.29115341851157,20.802381352183303,-1,0.0,AP024121.1
27.39597400614614,15.671055100290108,-1,0.0,AP024124.1
-8.93349812897866,-21.477661851532016,19,0.6326439757735146,AP024125.1
27.396490232385855,15.670140650157002,-1,0.0,AP024127.1
-35.71800871824875,27.559993512080396,3,0.9989973171113206,AP024128.1
-40.325245541709094,-22.003356221399155,12,1.0,AP024129.1
40.707873499824316,8.452558242153799,35,1.0,AP024132.2
11.647207660896326,-40.50011736207817,6,1.0,AP024133.2
9.160652371493436,21.05052836825025,23,0.8962354697948028,AP024472.1
5.9483173257257524,12.617250213361089,-1,0.0,AP024474.1
5.947060146114353,12.617661693649278,-1,0.0,AP024476.1
-7.514314019311843,39.44674800328785,10,1.0,AP024477.1
9.158256213580751,21.049741998616817,23,0.8959254556798231,AP024479.1
31.22044641211371,4.264930403317555,40,0.7711914026094707,AP024519.1
-0.9220606213268807,-29.63898326504486,9,0.5379408636640897,AP024520.1
-0.9211550145877068,-29.63892738438369,9,0.5381865231348529,AP024522.1
13.574528054008654,31.406491907653866,13,0.5997391026882632,CP005999.1
24.694027847044723,14.188987611293538,-1,0.0,CP006000.1
17.229197594984026,-1.466469081555248,-1,0.0,CP006001.1
7.612712490831201,3.5891133338421612,33,0.7866672871963042,CP006002.1
40.21098451839324,8.956768261692643,35,0.9990914460778089,CP012113.1
10.86966468875206,-40.53190870161687,6,0.8417293400682146,CP012114.1
1.682950846418328,-29.381478220284844,9,1.0,CP012494.1
6.586408685030593,19.483868135848095,-1,0.0,CP012495.1
5.474153591625074,3.561388288405942,-1,0.0,CP012496.1
31.44671348639514,-9.149504542718,31,1.0,CP013836.1
-40.53718340952734,-16.9055294217993,12,1.0,CP014198.2
10.39095931868143,1.7102842832548686,33,0.9492407578394719,CP014199.1
14.247193832445959,4.807014289390024,33,1.0,CP014200.1
15.682222768941509,-9.388758276643143,37,1.0,CP014493.1
-4.753832120842087,34.35915085717312,10,1.0,CP014494.1
17.705497097235934,16.94456564495033,24,1.0,CP014753.1
23.42833352027823,-1.9973277259338869,-1,0.0,CP018958.1
-13.095568277542432,-14.53476752749627,27,1.0,CP018959.1
35.718000523899384,-16.051881515166855,32,0.456226941023319,CP018960.1
-4.250832871903033,-7.675640013299647,30,0.6230696435526694,CP018961.1
46.42212870079142,2.8834956775712124,-1,0.0,CP022610.1
-32.354863723842314,27.81470327163741,3,0.8602039288414318,CP024156.1
33.98283711513429,-0.3523065195843905,-1,0.0,CP024157.1
40.51591485175421,12.803136212256534,-1,0.0,CP024158.1
16.58264064601034,-0.5488910040837776,33,0.7269362967436545,CP024238.1
17.11269565610498,-0.7731663143027796,-1,0.0,CP024249.1
15.767552051220497,5.7085545772121815,33,0.8215409394525527,CP024250.1
-7.915350042519023,43.98594720105652,10,0.587155455503,CP024251.1
-4.631952002426699,33.076068872507015,10,0.8757050690415972,CP024253.1
14.533588017798747,6.991793121511975,33,1.0,CP024267.1
11.928770153718549,2.410276385456405,33,0.8844499171300654,CP024268.1
-13.670984717528375,11.021598081609964,16,0.662795901962013,CP025875.1
8.225796177233661,2.049447581419468,-1,0.0,CP025876.1
5.725570653967469,-24.129188743490424,-1,0.0,CP025877.1
14.274830580635724,26.602650880408014,-1,0.0,CP025878.1
-9.859287125432834,2.5717823964454767,15,1.0,CP025879.1
17.181387509890428,1.2427113785952626,-1,0.0,CP025880.1
11.576263840068222,-41.00314197676598,6,1.0,CP025888.1
14.274711315361182,26.602961433788728,-1,0.0,CP025889.1
8.225801715819305,2.049657404051105,-1,0.0,CP025890.1
17.130050524513287,1.260409899647048,-1,0.0,CP025891.1
24.685457712390455,14.179488213606607,-1,0.0,CP025897.1
15.725962188963505,5.848030295425026,33,0.8293823913468447,CP025898.1
7.611630899820404,3.589395951311631,33,0.7864159118815803,CP025899.1
14.004845330405338,3.5196563683460047,33,0.9348905508139332,CP025908.1
14.653784617004545,5.647195372189532,33,0.990928503846228,CP025909.1
-13.670984717528375,11.021598081609964,16,0.662795901962013,CP025925.1
14.274782926685843,26.602697414459502,-1,0.0,CP025926.1
17.182153056284537,1.2422873293994563,-1,0.0,CP025927.1
8.225639401117679,2.0494268227573906,-1,0.0,CP025928.1
14.067549633018224,3.585206520700382,33,0.9419104199269684,CP025968.1
-43.74787748549176,-16.328462656616583,12,1.0,CP025969.1
10.01903549483884,4.810073169290267,33,0.9082608425424162,CP025971.1
11.076836781781303,6.99341759046657,33,0.8519510376609211,CP025972.1
10.018981124008008,4.809965701623882,33,0.9082131260281087,CP025974.1
11.076844421010758,6.993093626632152,33,0.8519069355937844,CP025975.1
10.018935340739635,4.81012011904466,33,0.9082578035750841,CP025977.1
11.076754963091508,6.993228096925061,33,0.8519532286619022,CP025978.1
-11.823450557015232,-46.4179998312883,1,0.8693221705316524,CP026642.1
47.32061031369185,9.20719735710897,34,0.6519286206232426,CP026643.1
-32.87049261787488,26.555686307690866,3,1.0,CP026644.1
2.4869974534548476,-29.191101217744016,9,0.8138430851404757,CP027320.1
9.233715464615152,21.38539146263514,23,1.0,CP027321.1
19.6958423475031,14.5775497514975,24,1.0,CP027345.1
18.394926314478006,13.672308628093422,24,0.9494690689113499,CP027346.1
9.9082823991668,21.622882676522785,23,0.7770398389355587,CP027359.1
19.371281500067415,-4.431652789858573,38,0.3720209441249892,CP027377.1
10.530745403672045,27.679270390229068,13,0.27333165363975254,CP027378.1
10.527647690635735,31.347463449611134,13,0.41670240365327904,CP027379.1
40.74502618979016,8.1488483693482,35,0.966664848631935,CP027485.1
21.37193600966789,3.7530752704792922,-1,0.0,CP027641.1
9.743338016491554,32.034047935832476,13,0.5178201790272192,CP027673.1
21.226735832595516,3.780450908874898,-1,0.0,CP027674.1
11.017791252376893,17.865786502770423,-1,0.0,CP027676.1
9.608126273974474,21.372951663550523,23,1.0,CP027764.1
23.705499866024418,1.2928707661086172,-1,0.0,CP027765.1
-25.63223066779686,5.452484682580803,5,0.9398147224468677,CP028705.1
32.467821584742,3.0276997571786626,40,1.0,CP034254.1
